Num.col,Colector,Localidad-sym,Familia,Genero,especie,Infraespecifico,calificadorID,Nombre cientifico,N¼ individuos en parche,UICN,LISTA-ROJA-ECUADOR,Habito,Amenazada,Localidad,NOTAS,ENDEMICA PAIS,ENDEMICA CENTINELA,PAIS,,,,,,,,,,
observacion,A Fern‡ndez,M3,Thymelaeaceae,Daphnopsis,grandis,,,Daphnopsis grandis,<100,EN,EN,çrbol,s’,Milton Murillo M3,,X,,ECU,,,,,,,,,,
16862,"Clark, John Littner",Otro,Annonaceae,Cremastosperma,stenophyllum,,,Cremastosperma stenophyllum,20,EN,,çrbol,s’,"Parroquia: Santa Mar’a del Toachi, Centinela del Pichincha, on the road between Patrica Pilar and Maria del Toachi (before the entrance to Bijagual), Cooperativa Flor de los Rios.",,X,,ECU,,,,,,,,,,
17717,"Clark, John Littner",PDB,Annonaceae,Cremastosperma,stenophyllum,,,Cremastosperma stenophyllum,30,EN,,çrbol,s’,Recinto Palmar del Bimbe. Parche de bosque en la cima de la monta–a rocosa. Propiedad de la familia Pozo.,,X,,ECU,,,,,,,,,,
17723,"Clark, John Littner",PDB,Gesneriaceae,Trichodrymonia,hypocyrta,,,Trichodrymonia hypocyrta,,EN,,Hierba,,Recinto Palmar del Bimbe. Parche de bosque en la cima de la monta–a rocosa. Propiedad de la familia Pozo.,,X,,ECU,,,,,,,,,,
17726,"Clark, John Littner",PDB,Gesneriaceae,Trichodrymonia,hypocyrta,,,Trichodrymonia hypocyrta,,EN,,Hierba,,Recinto Palmar del Bimbe. Parche de bosque en la cima de la monta–a rocosa. Propiedad de la familia Pozo.,,X,,ECU,,,,,,,,,,
observacion,A Fern‡ndez,PH,Malvaceae,Matisia,coloradorum,,,Matisia coloradorum,<40,EN,EN,çrbol,s’,"Parroquia: El Esfuerzo. El Respaldo, 3.5 km east of Segundo Respaldo (dead end road). Finca de Paul Henry.",,X,,ECU,,,,,,,,,,
observacion,A Fern‡ndez,SBC,Marantaceae,Calathea,roseobracteata,,,Calathea roseobracteata,<50,EN,EN,Hierba,s’,Bosque Cascada,,X,,ECU,,,,,,,,,,
observacion,A Fern‡ndez,SBS,Capparaceae,Podandrogyne,brevipedunculata,,,Podandrogyne brevipedunculata,<50,EN,EN,Hierba,s’,"Bosque Sur. ""Bosque de la avioneta"", cerca de Bosque Vega",,X,,ECU,,,,,,,,,,
observacion,A Fern‡ndez,SBS,Primulaceae,Geissanthus,fallenae,,,Geissanthus fallenae,<100,EN,EN,çrbol,s’,"Bosque Sur. ""Bosque de la avioneta"", cerca de Bosque Vega",,X,,ECU,,,,,,,,,,
observacion,A Fern‡ndez,SBS,Gesneriaceae,Drymonia,laciniosa,,,Drymonia laciniosa,<100,EN,EN,Hierba trepadora,s’,"Bosque Sur. ""Bosque de la avioneta"", cerca de Bosque Vega",,X,,ECU,,,,,,,,,,
observacion,A Fern‡ndez,SBS,Malvaceae,Matisia,palenquiana,,,Matisia palenquiana,<50,EN,EN,çrbol,s’,"Bosque Sur. ""Bosque de la avioneta"", cerca de Bosque Vega",,X,,ECU,,,,,,,,,,
observacion,A Fern‡ndez,SBSR,Rutaceae,Erythrochiton,giganteus,,,Erythrochiton giganteus,<300,EN,EN,çrbol,s’,"Bosque Santa Rosa, cerca de la escuela y la casa del Presidente",,X,,ECU,,,,,,,,,,
observacion,A Fern‡ndez,SBSR,Malvaceae,Matisia,palenquiana,,,Matisia palenquiana,<50,EN,EN,çrbol,s’,"Bosque Santa Rosa, cerca de la escuela y la casa del Presidente",,X,,ECU,,,,,,,,,,
observacion,A Fern‡ndez,SBV,Primulaceae,Geissanthus,fallenae,,,Geissanthus fallenae,<100,EN,EN,çrbol,s’,Bosque Vega,,X,,ECU,,,,,,,,,,
observacion,A Fern‡ndez,SBW,Lecythidaceae,Gustavia,dodsonii,,,Gustavia dodsonii,1,EN,EN,çrbol,s’,Bosque Don Wilson Estrada,,X,,ECU,,,,,,,,,,
observacion,A Fern‡ndez,SBW,Gesneriaceae,Gasteranthus,timidus,,,Gasteranthus timidus,<100,EN,EN,Subarbusto,s’,Bosque Don Wilson Estrada,,X,,ECU,,,,,,,,,,
observacion,A Fern‡ndez,SBW,Malvaceae,Matisia,coloradorum,,,Matisia coloradorum,<20,EN,EN,çrbol,s’,Bosque Don Wilson Estrada,,X,,ECU,,,,,,,,,,
4499,JC Cer—n,BCLR,Polygalaceae,Monnina,sodiroana,,cf.,Monnina cf. sodiroana,,EN,EN,Arbusto,s’,Bosque y Cascadas las Rocas,,,,ECU-CO,,,,,,,,,,
4506,JC Cer—n,BCLR,Meliaceae,Carapa,megistocarpa,,,Carapa megistocarpa,,EN,EN,çrbol,s’,Bosque y Cascadas las Rocas,,,,ECU-COL,,,,,,,,,,
4515,JC Cer—n,BCLR,Malvaceae,Matisia,palenquiana,,,Matisia palenquiana,,EN,EN,çrbol,s’,Bosque y Cascadas las Rocas,,,,ECU,,,,,,,,,,
4516,JC Cer—n,BCLR,Malvaceae,Matisia,grandifolia,,,Matisia grandifolia,,EN,EN,çrbol,s’,Bosque y Cascadas las Rocas,,,,ECU-COL,,,,,,,,,,
4843,JC Cer—n,BCLR,Sapindaceae,Allophylus,dodsonii,,,Allophylus dodsonii,,EN,EN,çrbol,s’,Bosque y Cascadas las Rocas,,,,ECU-PER,,,,,,,,,,
16768,"Clark, John Littner",BCLR,Cleomaceae,Podandrogyne,brevipedunculata,,,Podandrogyne brevipedunculata,,EN,EN,Hierba,s’,"Parroquia: Polanco. Sector Bolo Alto, Bosque y Cascadas Las Rocas (propiedad de Eduardo Diaz). Waterfalls of the Bolo watershed.",,,,ECU,,,,,,,,,,
16782,"Clark, John Littner",BCLR,Amaryllidaceae,Urceolina,astrophiala,,,Urceolina astrophiala,,EN,,,,"Parroquia: Polanco. Sector Bolo Alto, Bosque y Cascadas Las Rocas (propiedad de Eduardo Diaz). Waterfalls of the Bolo watershed.",EN bajo el nombre de Eucharis astrophiala,X,,ECU,,,,,,,,,,
17690,"Clark, John Littner",BCLR,Gesneriaceae,Gasteranthus,macrocalyx,,,Gasteranthus macrocalyx,,EN,EN,Hierba,s’,Bosque y Cascadas las Rocas,,,,,,,,,,,,,,
17700,"Clark, John Littner",BCLR,Araceae,Dracontium,croatii,,,Dracontium croatii,,EN,EN,Hierba,s’,Bosque y Cascadas las Rocas,,,,ECU-COL,,,,,,,,,,
observacion,DM White,BCLR,Araceae,Dracontium,croatii,,,Dracontium croatii,<50,EN,EN,Hierba,s’,,,,,ECU-COL,,,,,,,,,,
observacion,DM White,BCLR,Lecythidaceae,Eschweilera,podoaquilae,,,Eschweilera podoaquilae,>50,EN,EN-Articulo,çrbol,s’,,,,,,,,,,,,,,,
observacion,A Fern‡ndez,BCLR,Malvaceae,Matisia,grandifolia,,,Matisia grandifolia,<100,EN,EN,çrbol,s’,Bosque y Cascadas las Rocas,,,,ECU-COL,,,,,,,,,,
observacion,A Fern‡ndez,BCLR,Polygalaceae,Monnina,sodiroana,,cf.,Monnina cf. sodiroana,<100,EN,EN,Hierba,s’,Bosque y Cascadas las Rocas,,,,ECU-COL,,,,,,,,,,
4606,JC Cer—n,BCLRN,Malvaceae,Matisia,coloradorum,,,Matisia coloradorum,,EN,EN,çrbol,s’,BCLR Norte. Bosque al frente de BCLR,,,,ECU,,,,,,,,,,
4700,JC Cer—n,BCLRN,Malvaceae,Matisia,coloradorum,,,Matisia coloradorum,,EN,EN,çrbol,s’,BCLR Norte. Bosque al frente de BCLR,,,,ECU,,,,,,,,,,
4404,JC Cer—n,CC,Melastomataceae,Blakea,incompta,,,Blakea incompta,<10,EN,EN,Planta trepadora,s’,Cascadas Cristal,,X,,ECU,,,,,,,,,,
4836,JC Cer—n,CC,Lauraceae,Rhodostemonodaphne,cyclops,,,Rhodostemonodaphne cyclops,,EN,VU,çrbol,s’,Cascadas Cristal,,,X,ECU,,,,,,,,,,
observacion,A Fern‡ndez,CC,Lauraceae,Rhodostemonodaphne,cyclops,,,Rhodostemonodaphne cyclops,<100,EN,VU,çrbol,s’,Cascadas Cristal,,,X,ECU,,,,,,,,,,
4716,JC Cer—n,CDP,Gesneriaceae,Monopyle,sodiroana,,,Monopyle sodiroana,,EN,VU,Hierba,s’,Centinela del pichincha,,,,ECU-PER,,,,,,,,,,
4722,JC Cer—n,CDP,Melastomataceae,Blakea,involves,,,Blakea involvens,<10,EN,EN,çrbol,s’,Centinela del pichincha,,,,ECU-COL,,,,,,,,,,
4727,JC Cer—n,CDP,Sapindaceae,Allophylus,dodsonii,,,Allophylus dodsonii,,EN,EN,çrbol,s’,Centinela del pichincha,,,,ECU-PER,,,,,,,,,,
observacion,A Fern‡ndez,CDP,Sapindaceae,Allophylus,dodsonii,,,Allophylus dodsonii,<100,EN,EN,çrbol,s’,Centinela del Pichincha,,,,ECU-PER,,,,,,,,,,
observacion,A Fern‡ndez,CDP,Meliaceae,Carapa,megistocarpa,,,Carapa megistocarpa,<100,EN,EN,çrbol,s’,Centinela del Pichincha,,,,ECU-COL,,,,,,,,,,
